Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurance,Reporting District,Agency,Report/No Report
B16-00363,1/4/16,1:41 AM,January,Monday,DISTURBANCE IP,1017 W 9TH ST,LB520,BPD,No Report
B16-00402,1/4/16,12:25 PM,January,Monday,DISTURBANCE IP,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,No Report
B16-00426,1/4/16,3:38 PM,January,Monday,DISTURBANCE IP,120 S KIMBLE DR; KIMBLE MOBILE HOME MANOR; LOT 7,LB523,BPD,No Report
B16-00447,1/4/16,5:51 PM,January,Monday,DISTURBANCE IP,608 N SUMMIT ST,LB517,BPD,No Report
B16-00455,1/4/16,6:28 PM,January,Monday,DISTURBANCE IP,1466 N ARLINGTON PARK DR; APT 614,LB514,BPD,No Report
B16-00459,1/4/16,7:40 PM,January,Monday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,No Report
B16-00469,1/4/16,9:34 PM,January,Monday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,No Report
B16-00519,1/5/16,12:18 PM,January,Tuesday,DISTURBANCE IP,600 S WALNUT ST; MONROE COUNTY EQUIPMENT,LB410,BPD,No Report
B16-00598,1/5/16,10:21 PM,January,Tuesday,DISTURBANCE IP,134 N ROOSEVELT ST,LB222,BPD,No Report
B16-00735,1/6/16,10:47 PM,January,Wednesday,DISTURBANCE IP,909 N ILLINOIS ST,LB517,BPD,No Report
B16-00756,1/7/16,2:32 AM,January,Thursday,DISTURBANCE IP,S WALNUT ST & E KIRKWOOD AVE,LB102,BPD,Report
B16-00778,1/7/16,9:17 AM,January,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 90A,LB336,BPD,Report
B16-00815,1/7/16,3:56 PM,January,Thursday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,No Report
B16-00914,1/8/16,12:24 PM,January,Friday,DISTURBANCE IP,1965 S WALNUT ST; BLOOMINGTON HIGH SCHOOL SOUTH,LB315,BPD,Report
B16-00959,1/8/16,5:43 PM,January,Friday,DISTURBANCE IP,475 N COLLEGE AVE; CARDINAL FITNESS,LB101,BPD,No Report
B16-00974,1/8/16,6:50 PM,January,Friday,DISTURBANCE IP,1323 W 13TH ST,LB517,BPD,Report
B16-01024,1/9/16,1:54 AM,January,Saturday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,No Report
B16-01030,1/9/16,2:40 AM,January,Saturday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B16-01160,1/10/16,2:39 AM,January,Sunday,DISTURBANCE IP,105 W 7TH ST; VIDEO SALOON,LB101,BPD,No Report
B16-01162,1/10/16,2:56 AM,January,Sunday,DISTURBANCE IP,3200 E LONGVIEW AVE; APT 50,LB221,BPD,No Report
B16-01163,1/10/16,3:17 AM,January,Sunday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B16-01218,1/10/16,4:08 PM,January,Sunday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,No Report
B16-01224,1/10/16,4:38 PM,January,Sunday,DISTURBANCE IP,3127 S ACADIA CT,LB329,BPD,No Report
B16-01236,1/10/16,5:58 PM,January,Sunday,DISTURBANCE IP,120 E MILLER DR,LB315,BPD,No Report
B16-01267,1/10/16,9:55 PM,January,Sunday,DISTURBANCE IP,710 N COLLEGE AVE,LB519,BPD,Report
B16-01284,1/11/16,6:48 AM,January,Monday,DISTURBANCE IP,919 S ROGERS ST; MARTHAS HOUSE,LB412,BPD,No Report
B16-01327,1/11/16,3:11 PM,January,Monday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,No Report
B16-01333,1/11/16,3:34 PM,January,Monday,DISTURBANCE IP,300 S COLLEGE MALL RD; STEAK AND SHAKE EAST,LB305,BPD,No Report
B16-01337,1/11/16,4:31 PM,January,Monday,DISTURBANCE IP,833 S COLLEGE MALL RD; FIRESTONE; FIRESTONE,LB310,BPD,No Report
B16-01374,1/11/16,9:41 PM,January,Monday,DISTURBANCE IP,520 E GRAHAM PL,LB327,BPD,No Report
B16-01390,1/12/16,12:34 AM,January,Tuesday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,No Report
B16-01405,1/12/16,6:53 AM,January,Tuesday,DISTURBANCE IP,2349 S BRANDON CT,LB326,BPD,No Report
B16-01432,1/12/16,11:56 AM,January,Tuesday,DISTURBANCE IP,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,No Report
B16-01462,1/12/16,3:41 PM,January,Tuesday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-01465,1/12/16,4:06 PM,January,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE CO LIBRARY,LB102,BPD,Report
B16-01509,1/12/16,10:28 PM,January,Tuesday,DISTURBANCE IP,454 S WESTPLEX AVE; APT 315,LB406,BPD,No Report
B16-01511,1/12/16,10:58 PM,January,Tuesday,DISTURBANCE IP,454 S WESTPLEX AVE,LB406,BPD,No Report
B16-01680,1/14/16,11:53 AM,January,Thursday,DISTURBANCE IP,2850 E 3RD ST; DICKS SPORTING GOODS,LB305,BPD,No Report
B16-01682,1/14/16,12:01 PM,January,Thursday,DISTURBANCE IP,3292 E BRAESIDE DR,LB221,BPD,No Report
B16-01696,1/14/16,1:12 PM,January,Thursday,DISTURBANCE IP,703 W GOURLEY PIKE ; APT 102,LB513,BPD,Report
B16-01703,1/14/16,1:36 PM,January,Thursday,DISTURBANCE IP,1310 W 11TH ST,LB517,BPD,No Report
B16-01710,1/14/16,2:09 PM,January,Thursday,DISTURBANCE IP,120 E MILLER DR;BLOOMINGTON NURSING AND REHAB,LB315,BPD,No Report
B16-01718,1/14/16,2:43 PM,January,Thursday,DISTURBANCE IP,2304 S WINSLOW CT; HENDERSON COURT,LB326,BPD,No Report
B16-01984,1/16/16,1:14 AM,January,Saturday,DISTURBANCE IP,1764 N WASHINGTON ST,LB212,BPD,No Report
B16-02079,1/16/16,7:11 PM,January,Saturday,DISTURBANCE IP,2901 W JULIES WAY; apt I,LB415,BPD,No Report
B16-02142,1/17/16,7:52 AM,January,Sunday,DISTURBANCE IP,815 S ROGERS ST,LB412,BPD,No Report
B16-02231,1/18/16,2:25 AM,January,Monday,DISTURBANCE IP,426 E 6TH ST,LB102,BPD,No Report
B16-02285,1/18/16,2:46 PM,January,Monday,DISTURBANCE IP,3281 S WALNUT SPRINGS DR,LB336,BPD,No Report
B16-02310,1/18/16,6:02 PM,January,Monday,DISTURBANCE IP,405 E 17TH ST; APT B21,LB212,BPD,No Report
B16-02316,1/18/16,6:53 PM,January,Monday,DISTURBANCE IP,511 N FESS AVE; APT 2,LB215,BPD,Report
B16-02324,1/18/16,8:01 PM,January,Monday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,Report
B16-02325,1/18/16,8:15 PM,January,Monday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,No Report
B16-02333,1/18/16,8:55 PM,January,Monday,DISTURBANCE IP,1280 N COLLEGE AVE; APT 312,LB519,BPD,No Report
B16-02350,1/19/16,12:29 AM,January,Tuesday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,No Report
B16-02386,1/19/16,10:52 AM,January,Tuesday,DISTURBANCE IP,1480 N ARLINGTON PARK DR; APT 704,LB514,BPD,No Report
B16-02390,1/19/16,12:14 PM,January,Tuesday,DISTURBANCE IP,349 S WALNUT ST; THE PROJECT SCHOOL,LB104,BPD,Report
B16-02414,1/19/16,3:43 PM,January,Tuesday,DISTURBANCE IP,301 S WALNUT ST; BLOOMINGTON TRANSIT TERMINAL.,LB104,BPD,No Report
B16-02436,1/19/16,6:06 PM,January,Tuesday,DISTURBANCE IP,411 E SOUTHERN DR; SOUTHERN VALLEY APARTMENTS; APT 12,LB315,BPD,No Report
B16-02438,1/19/16,6:16 PM,January,Tuesday,DISTURBANCE IP,322 S GRANT ST,LB104,BPD,No Report
B16-02484,1/19/16,11:02 PM,January,Tuesday,DISTURBANCE IP,430 E KIRKWOOD AVE; FALAFELS MIDDLE EASTERN GRILL,LB104,BPD,Report
B16-02513,1/20/16,11:27 AM,January,Wednesday,DISTURBANCE IP,1709 W 8TH ST; VALHALLA MOBILE MANOR; LOT 24,LB521,BPD,No Report
B16-02522,1/20/16,1:28 PM,January,Wednesday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B16-02537,1/20/16,3:33 PM,January,Wednesday,DISTURBANCE IP,2326 S BRANDON CT,LB326,BPD,No Report
B16-02538,1/20/16,3:32 PM,January,Wednesday,DISTURBANCE IP,2328 S BRANDON CT,LB326,BPD,No Report
B16-02569,1/20/16,7:23 PM,January,Wednesday,DISTURBANCE IP,401 N MORTON ST; CITY COUNCIL MEETING,LB101,BPD,No Report
B16-02570,1/20/16,7:25 PM,January,Wednesday,DISTURBANCE IP,401 N MORTON ST,LB101,BPD,No Report
B16-02606,1/21/16,12:32 AM,January,Thursday,DISTURBANCE IP,N LINCOLN ST & E 8TH ST,LB102,BPD,No Report
B16-02614,1/21/16,1:55 AM,January,Thursday,DISTURBANCE IP,3134 S ACADIA CT,LB329,BPD,No Report
B16-02729,1/21/16,10:04 PM,January,Thursday,DISTURBANCE IP,911 W CASCADE AVE,LB513,BPD,No Report
B16-02748,1/21/16,11:53 PM,January,Thursday,DISTURBANCE IP,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,No Report
B16-02767,1/22/16,2:10 AM,January,Friday,DISTURBANCE IP,305 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,No Report
B16-02782,1/22/16,6:38 AM,January,Friday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,No Report
B16-02801,1/22/16,11:30 AM,January,Friday,DISTURBANCE IP,S GRANT ST & E 4TH ST,LB104,BPD,No Report
B16-02855,1/22/16,7:04 PM,January,Friday,DISTURBANCE IP,S WALNUT ST & E KIRKWOOD AVE,,BPD,No Report
B16-02881,1/22/16,10:13 PM,January,Friday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,Report
B16-02911,1/23/16,1:32 AM,January,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,No Report
B16-02998,1/23/16,7:09 PM,January,Saturday,DISTURBANCE IP,3001 E 3RD ST; TACO BELL EAST,LB221,BPD,No Report
B16-03012,1/23/16,8:51 PM,January,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE; DUNNKIRK SQUARE,LB104,BPD,No Report
B16-03039,1/23/16,11:40 PM,January,Saturday,DISTURBANCE IP,N WALNUT ST & W 11TH ST,LB213,BPD,No Report
B16-03050,1/24/16,12:21 AM,January,Sunday,DISTURBANCE IP,1730 S WALNUT ST; NIGHT MOVES,LB421,BPD,Report
B16-03054,1/24/16,12:51 AM,January,Sunday,DISTURBANCE IP,1308 E ATWATER AVE; DELTA KAPPA EPSILON,LB303,BPD,No Report
B16-03068,1/24/16,2:40 AM,January,Sunday,DISTURBANCE IP,320 N WALNUT ST; JAPONEE,LB102,BPD,No Report
B16-03080,1/24/16,4:32 AM,January,Sunday,DISTURBANCE IP,2305 E 2ND ST; APT 19,LB304,BPD,Report
B16-03085,1/24/16,7:37 AM,January,Sunday,DISTURBANCE IP,1208 N DUNN ST;APT 4,LB214,BPD,Report
B16-03100,1/24/16,10:44 AM,January,Sunday,DISTURBANCE IP,"1722 N WALNUT ST; LOBBY AREA, AMERICAS BEST VALUE INN",LB212,BPD,No Report
B16-03107,1/24/16,12:05 PM,January,Sunday,DISTURBANCE IP,2331 S BRANDON CT,LB326,BPD,No Report
B16-03137,1/24/16,5:41 PM,January,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; A81,LB336,BPD,No Report
B16-03139,1/24/16,5:55 PM,January,Sunday,DISTURBANCE IP,2819 E 3RD ST; MCDONALDS EAST,LB221,BPD,No Report
B16-03146,1/24/16,6:51 PM,January,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B153,LB336,BPD,No Report
B16-03188,1/25/16,6:48 AM,January,Monday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,No Report
B16-03257,1/25/16,6:14 PM,January,Monday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-03317,1/26/16,7:41 AM,January,Tuesday,DISTURBANCE IP,2206 E 8TH ST,LB222,BPD,No Report
B16-03323,1/26/16,8:52 AM,January,Tuesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,No Report
B16-03376,1/26/16,3:36 PM,January,Tuesday,DISTURBANCE IP,1917 S LIBERTY DR; TSI INDIANA MENTOR,LB416,BPD,Report
B16-03405,1/26/16,5:59 PM,January,Tuesday,DISTURBANCE IP,514 W DAVIS ST; PERRYS TRAILER COURT; LOT 11,LB412,BPD,No Report
B16-03422,1/26/16,7:43 PM,January,Tuesday,DISTURBANCE IP,W STATE ROAD 45 46 BYPASS & N MONROE ST,LB510,BPD,No Report
B16-03464,1/27/16,2:12 AM,January,Wednesday,DISTURBANCE IP,1201 W ALLEN ST; APT 36,LB413,BPD,No Report
B16-03535,1/27/16,4:12 PM,January,Wednesday,DISTURBANCE IP,703 W GOURLEY PIKE; OFFICE,LB513,BPD,No Report
B16-03566,1/27/16,8:24 PM,January,Wednesday,DISTURBANCE IP,2311 S BRANDON CT,LB326,BPD,No Report
B16-03594,1/28/16,12:11 AM,January,Thursday,DISTURBANCE IP,503 W KIRKWOOD AVE; CIRCLE K KIRKWOOD AND ROGERS,LB408,BPD,No Report
B16-03596,1/28/16,1:12 AM,January,Thursday,DISTURBANCE IP,116 S INDIANA AVE,LB104,BPD,No Report
B16-03610,1/28/16,5:16 AM,January,Thursday,DISTURBANCE IP,1412 W 12TH ST,LB517,BPD,Report
B16-03657,1/28/16,1:36 PM,January,Thursday,DISTURBANCE IP,3068 E 3RD ST; MACYS,LB305,BPD,No Report
B16-03745,1/29/16,2:43 AM,January,Friday,DISTURBANCE IP,271 E VARSITY LN,LB212,BPD,No Report
B16-03891,1/29/16,11:58 PM,January,Friday,DISTURBANCE IP,1722 N WALNUT ST; AMERICAS BEST VALUE INN,LB212,BPD,No Report
B16-03909,1/30/16,5:29 AM,January,Saturday,DISTURBANCE IP,3802 W PARKVIEW CT,LB507,BPD,No Report
B16-03943,1/30/16,12:59 PM,January,Saturday,DISTURBANCE IP,1101 S ROGERS ST,LB412,BPD,No Report
B16-03955,1/30/16,2:32 PM,January,Saturday,DISTURBANCE IP,2455 N TAMARACK TRL; MEADOWOOD RETIREMENT COMMUNITY,LB210,BPD,No Report
B16-03960,1/30/16,2:52 PM,January,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-03990,1/30/16,5:37 PM,January,Saturday,DISTURBANCE IP,536 N COLLEGE AVE,LB101,BPD,Report
B16-03993,1/30/16,5:57 PM,January,Saturday,DISTURBANCE IP,422 E KIRKWOOD AVE; VINTAGE VOGUE,LB104,BPD,No Report
B16-04001,1/30/16,6:59 PM,January,Saturday,DISTURBANCE IP,510 S COLLEGE MALL RD; CVS PHARMACY COLLEGE MALL ROAD,LB305,BPD,Report
B16-04068,1/31/16,1:25 AM,January,Sunday,DISTURBANCE IP,332 S GRANT ST,LB104,BPD,No Report
B16-04073,1/31/16,3:17 AM,January,Sunday,DISTURBANCE IP,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,No Report
B16-04083,1/31/16,6:30 AM,January,Sunday,DISTURBANCE IP,1004 W COUNTRY CLUB DR; APT 23,LB423,BPD,No Report
B16-04187,2/1/16,12:16 AM,February,Monday,DISTURBANCE IP,1705 S HUNTINGTON DR; APT 5,LB316,BPD,Report
B16-04190,2/1/16,12:31 AM,February,Monday,DISTURBANCE IP,219 E 4TH ST; FIRST UNITED METHODIST CHURCH,LB104,BPD,No Report
B16-04222,2/1/16,11:07 AM,February,Monday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,No Report
B16-04235,2/1/16,1:06 PM,February,Monday,DISTURBANCE IP,3207 E 3RD ST; BIG RED LIQUORS E 3RD ST,LB221,BPD,No Report
B16-04426,2/2/16,10:23 PM,February,Tuesday,DISTURBANCE IP,2420 E 3RD ST; FIRST united church,LB303,BPD,No Report
B16-04430,2/2/16,11:23 PM,February,Tuesday,DISTURBANCE IP,512 N COLLEGE AVE; APT 310,LB101,BPD,No Report
B16-04480,2/3/16,11:19 AM,February,Wednesday,DISTURBANCE IP,1914 S OAKDALE DR,LB417,BPD,Report
B16-04491,2/3/16,1:23 PM,February,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B 153,LB336,BPD,Report
B16-04506,2/3/16,3:14 PM,February,Wednesday,DISTURBANCE IP,1202 W 12TH ST,,BPD,No Report
B16-04554,2/4/16,1:28 AM,February,Thursday,DISTURBANCE IP,605 S FESS AVE; APT 11,LB302,BPD,Report
B16-04589,2/4/16,11:52 AM,February,Thursday,DISTURBANCE IP,322 E KIRKWOOD AVE,LB104,BPD,No Report
B16-04599,2/4/16,1:07 PM,February,Thursday,DISTURBANCE IP,2160 N WALNUT ST; DENNYS,LB212,BPD,No Report
B16-04625,2/4/16,4:24 PM,February,Thursday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,No Report
B16-04704,2/5/16,11:32 AM,February,Friday,DISTURBANCE IP,2354 S HENDERSON ST,LB327,BPD,No Report
B16-04757,2/5/16,7:50 PM,February,Friday,DISTURBANCE IP,2642 E 3RD ST; CHASE BANK EAST,LB304,BPD,No Report
B16-04764,2/5/16,8:47 PM,February,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,Report
B16-04777,2/5/16,11:28 PM,February,Friday,DISTURBANCE IP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,Report
B16-04860,2/6/16,4:56 PM,February,Saturday,DISTURBANCE IP,3409 W SPRUCE DR,LB417,BPD,Report
B16-04871,2/6/16,6:42 PM,February,Saturday,DISTURBANCE IP,N WALNUT ST & E 12TH ST,LB519,BPD,Report
B16-04879,2/6/16,8:43 PM,February,Saturday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,No Report
B16-04911,2/7/16,2:30 AM,February,Sunday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,No Report
B16-04940,2/7/16,11:57 AM,February,Sunday,DISTURBANCE IP,2307 E 2ND ST ; APT 28  BART VILLA,LB304,BPD,No Report
B16-04944,2/7/16,1:20 PM,February,Sunday,DISTURBANCE IP,S COLLEGE MALL RD & E 3RD ST,LB221,BPD,No Report
B16-04972,2/7/16,6:05 PM,February,Sunday,DISTURBANCE IP,1600 N WILLIS DR; LOT 236,LB513,BPD,No Report
B16-05041,2/8/16,11:30 AM,February,Monday,DISTURBANCE IP,3325 S ACADIA CT,LB329,BPD,No Report
B16-05231,2/10/16,10:33 AM,February,Wednesday,DISTURBANCE IP,1711 N COLLEGE AVE; FOOD STAMP OFFICE,LB512,BPD,No Report
B16-05235,2/10/16,11:11 AM,February,Wednesday,DISTURBANCE IP,609 S HARVEY DR,LB402,BPD,No Report
B16-05300,2/10/16,10:31 PM,February,Wednesday,DISTURBANCE IP,111 S GRANT ST,LB104,BPD,No Report
B16-05319,2/11/16,8:20 AM,February,Thursday,DISTURBANCE IP,614 E 2ND ST; BLOOMINFOODS,LB302,BPD,No Report
B16-05431,2/12/16,6:42 AM,February,Friday,DISTURBANCE IP,1935 S BASSWOOD DR,LB417,BPD,No Report
B16-05439,2/12/16,8:36 AM,February,Friday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,No Report
B16-05450,2/12/16,12:19 PM,February,Friday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-05455,2/12/16,1:14 PM,February,Friday,DISTURBANCE IP,1301 S MADISON ST; APT A,LB412,BPD,No Report
B16-05506,2/12/16,7:12 PM,February,Friday,DISTURBANCE IP,223 S PETE ELLIS DR; WILLIAMSBURG VILLAGE,LB221,BPD,No Report
B16-05553,2/13/16,12:34 AM,February,Saturday,DISTURBANCE IP,310 S COLLEGE AVE; COURTYARD BLOOMINGTON; ROOM 420,LB103,BPD,No Report
B16-05569,2/13/16,3:09 AM,February,Saturday,DISTURBANCE IP,1513 S WALNUT ST,LB315,BPD,No Report
B16-05573,2/13/16,4:36 AM,February,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B168,LB336,BPD,No Report
B16-05593,2/13/16,11:43 AM,February,Saturday,DISTURBANCE IP,1321 W 13TH ST,LB517,BPD,Report
B16-05625,2/13/16,4:53 PM,February,Saturday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,No Report
B16-05649,2/13/16,8:42 PM,February,Saturday,DISTURBANCE IP,2420 E 3RD ST; FIRST BAPTIST CHURCH,LB304,BPD,No Report
B16-05708,2/14/16,4:23 AM,February,Sunday,DISTURBANCE IP,1601 E MATLOCK RD; APT 6,LB211,BPD,No Report
B16-05721,2/14/16,9:48 AM,February,Sunday,DISTURBANCE IP,102 E KIRKWOOD AVE; THE UPTOWN CAFE,LB104,BPD,No Report
B16-05799,2/14/16,9:14 PM,February,Sunday,DISTURBANCE IP,959 E MILLER DR,LB316,BPD,No Report
B16-05846,2/15/16,12:59 PM,February,Monday,DISTURBANCE IP,425 N HAY ST,LB521,BPD,No Report
B16-05873,2/15/16,4:37 PM,February,Monday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A 76,LB336,BPD,No Report
B16-05885,2/15/16,7:02 PM,February,Monday,DISTURBANCE IP,2457 W MARLENE DR,LB523,BPD,Report
B16-05901,2/15/16,10:38 PM,February,Monday,DISTURBANCE IP,424 S WALNUT ST; PLAYERS PUB,LB103,BPD,No Report
B16-05908,2/16/16,12:01 AM,February,Tuesday,DISTURBANCE IP,2819 E 3RD ST; MCDONALDS EAST; FLR 1,LB221,BPD,No Report
B16-05918,2/16/16,2:10 AM,February,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT 160,LB336,BPD,No Report
B16-05919,2/16/16,2:28 AM,February,Tuesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,No Report
B16-05954,2/16/16,11:26 AM,February,Tuesday,DISTURBANCE IP,2475 S WALNUT STREET PIKE; BIG RED LIQUORS,LB327,BPD,No Report
B16-06017,2/16/16,8:40 PM,February,Tuesday,DISTURBANCE IP,808 E MILLER DR,LB316,BPD,No Report
B16-06020,2/16/16,9:03 PM,February,Tuesday,DISTURBANCE IP,105 W 7TH ST; VIDEO SALOON,LB101,BPD,No Report
B16-06026,2/16/16,11:28 PM,February,Tuesday,DISTURBANCE IP,1004 W COUNTRY CLUB DR; FAIRWAY APARTMENTS,LB423,BPD,No Report
B16-06033,2/17/16,12:45 AM,February,Wednesday,DISTURBANCE IP,3104 S ACADIA CT,LB329,BPD,No Report
B16-06090,2/17/16,1:53 PM,February,Wednesday,DISTURBANCE IP,305 E WINSLOW RD; WINSLOW PLAZA,LB326,BPD,No Report
B16-06122,2/17/16,6:00 PM,February,Wednesday,DISTURBANCE IP,422 E KIRKWOOD AVE,LB104,BPD,Report
B16-06173,2/18/16,6:44 AM,February,Thursday,DISTURBANCE IP,111 S GRANT ST,LB104,BPD,No Report
B16-06215,2/18/16,12:43 PM,February,Thursday,DISTURBANCE IP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,No Report
B16-06231,2/18/16,3:02 PM,February,Thursday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,Report
B16-06264,2/18/16,7:14 PM,February,Thursday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,No Report
B16-06285,2/18/16,10:48 PM,February,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A17,LB336,BPD,No Report
